text,id,like_counts
不，我爸造了一辈子电厂咋就东北限电了我爸大半辈子走南闯北没回过几次家，和我妈的都离婚了还在电厂工作，我认知中中国电力应该挺发达的啊我爸还去国外帮外国人修电厂怎么就停电了啊，我不接受！！！,4686156388897909,0
好黑暗啊,4685772559486838,0
同磐石老乡，我妈家前几天就停过电，我家这还没停呢,4685713617191191,4
今天看见我大姐发的朋友圈手电筒照明做饭，给我妈打电话，我妈说停电三天了，基本上都是白天停，但是东北黑天早呀，下午600天已经黑透了才来电，我妈说以后这就是常态，农村苦呀，烧炕没材，插电褥子没电，东北现在气温特别低，已经上霜了，说停电就停电，从来不打招呼,4685770176856983,4
磐石也有剧本杀店吗,4685640559497174,3
停电之后摄像头啥的还能正常用不？细思极恐,4686027367383174,0
会不会造成东北人大迁徙南下毕竟南方冬天好过一点,4686026239380928,0
我知道我的点有些歪，但是这照片拍的好有感觉,4685745946627190,0
水深火热中的慧文思如泉涌，果然毁灭成就文豪,4685625267588148,25
我家这一天一夜的停，来电凌晨没通知早晨6点多起来水电又停，哪管给个通知接水冲厕所也行,4685568262800591,18
好文艺,4685414859805022,10
照片拍的还挺有氛围,4685628791065438,8
同是磐石人我妈天天点蜡烛,4685725612116261,4
凭啥把咱们的电给别的地方啊，国家看不起就看不起咱们吧，可咱们都落魄到这样了它还要踩一脚是有病吧。,4685564542452194,120
无法理解限民用电这几个字,4685558720496553,114
停电之后，屋子里只有一种颜色，那一定是中国红,4685637157916225,93
国家的限电政策，针对的是工业用电。只是为了减产能。不是限制居民用电。。。,4685637930978685,38
孟女士回国确实不容易值得庆贺但踏马搞得阵仗不知道的以为郭家老大呢深圳全城亮灯就为了欢迎她东三省却限电搞不搞笑啊,4685711992951190,48
确实，以后怎么黑印度,4685654581054125,51
东三省限民用电已经严重影响了居民生活，希望赶紧解决。,4685574017646910,46
老特么停电家用电器怎么办啊冰箱啥的都晃坏了给不给换冰箱啊也不通知,4685427803687350,48
真的吐了。其他省市灯火通明夜夜笙歌，东北走夜路都看不着！,4685715230690676,29
黑龙江早上九点停到了晚上十一点半夜起来刷碗,4685558053864063,30
限民用电就是离谱！口口声声说人民的利益是根本利益！到底把普通老百姓放在哪里！,4685708305893174,27
今年到底是什么魔幻之年啊？各种奇葩政策制度措施,4685702178802060,33
广东核电站有四个核电站，真希望把电匀一些给东北。这几天广州高温35，不开空调热中暑了。没电受冻虽然无法想象，但是一定也很苦,4685708428577493,7
要顾全大局,4685671224574473,2
地方一些领导太无能，要么不作为要么乱作为。,4685670741708278,15
东北三省这个一刀切的政策执行方式真是又熟悉又无脑，别的地方都是保证民生用电，限的高能耗的工业用电。这确定不是敌对势力派来的奸细？,4685657508678543,22
农村更惨三天停两天第一次下午没到5点到半夜11点多，第二次从早上9点多停到晚上10点多,4685566690197686,17
这样说停就停不太好吧，农村还将就，城里的话住在高层那可就惨了，我个人认为限电应该限制那些浪费电的，或者是不必要用电的，一线城市的商家整晚都亮着广告牌，高层大楼整晚的彩灯之类的，为什么就没人管他们浪不浪费电呢？！东三省现在已经进入秋季，天气转冷，现在限电连一口热水都是奢侈！,4685704393922512,10
东北官治理水平，智商堪忧。,4685635598418586,6
医院有电吗？要生孩子的产妇怎么办？要急诊的病人怎么办？,4685706231024386,10
？！？！还是21世纪吗？！,4685707933650686,4
在优质服务提得很高的前提下无预兆拉闸基本是因为电网即将突破稳定极限，一旦频率垮掉会直接解列，直白点说，东三省一起停电，并且同时影响互联的华北西北电网。这种情况是来不及通知了，能保住电网不垮网都是立功了，网调省调直接拉的都是220以上的大开关，供的到底是哪些负荷都顾不上清点的,4685723841858292,6
？？救命？红绿灯监控都没有了？真就是一夜回到解放前呗,4685719014478435,5
看到免费领取百合一支我破防了,4685709245944115,3
太惨了，这措施好无语啊，怜爱东北人民了大冬天天黑的早又那么冷没有电咋过呀,4685714212262166,3
看到那个煎饼果子店有点想哭，难得的能吃口热乎东西,4685703402753682,4
被花店那张图狠狠击中了。,4685837630178584,1
想一出是一出，老百姓像小白鼠,4685755265844714,2
这还是那个高速发展的国家么。民生问题都不管了？当你支付宝二维码，没电用个屁？这天天啥也不用干了，振兴东北？想屁赚钱？天天琢磨怎么给充电宝充电，有电的时候把一天的饭都做出来，这边天天吃剩饭那边专家说剩饭引发癌症。好嘛，东北人都走吧！东北就活该落后？,4685719693427419,5
限制民用电是2021年马上入冬能干出来的事吗,4685718519546036,6
卧槽这是我家卧槽我一个泪奔,4685699665887406,5
这种执政水平。。。,4685689537169543,4
平时有点什么事，这也报道那也报道，限电的时候就没个媒体出来，也不知道都是管什么用的，看八卦都那么来劲,4685585916101843,11
图九太他妈的难受了。,4685794813939884,0
免费领取百合一支。,4685794751550011,0
哪个大聪明想的停红绿灯,4685764425679067,1
没有提前通知和应对方案就离谱直接拉电闸谁受得了,4685734994772767,2
这是21世纪啊怎么和新闻联播不一样呢,4685724815461280,3
我家里黑龙江2万人不到的小农场这几天天天停电，什么原因停电，停电时间也没通知，我还奇怪为什么家族群这几天老说停电呢,4685716875643483,2
祖国飞速发展几十年，东北一夜回到解放前。,4685715998772646,3
这要是在电梯里停电就够呛了红红的药生在经济高速发展的时代的孩子没经历过这种大规模的停电，妈妈说她小时候经常点着蜡烛生活，我隔着岁月感受到了那个年代的冰山一角,4685703299203510,2
这种停电就过分了。,4685669237263708,2
离谱,4687770020218087,1
那手机扫描支付也不行咯好久没带过纸币了,4686011450001554,1
红绿灯都停，很有点无语了吧,4685763658650075,1
红绿灯都停了就无语,4685759653352403,1
不是东北人也觉得东北好惨啊，怎么这样,4685756566869646,1
无预兆停电，那高层正在坐电梯的怎么办？停在半空吗,4685754981418702,1
红绿灯都停真的离大谱这是2021不是七八十年代啊，没电咋个过？灾后求生纪录片啊？,4685754590561103,1
23489589799990794523真的就很离谱，就是离谱到想吐槽都不知道从哪开始,4685753769265913,1
红绿灯也停监控也没有，这也太离谱了吧人民日报,4685752766826384,1
无法理解为什么要停电,4685750380269706,1
太离谱了，怎么会这样,4685750095055842,1
医院怎么办啊,4685739277161271,1
身为一个电网调度，我想知道哪个2下的令，大中小企业呢？为啥限居民用电？,4685737213300236,1
红绿灯也停？无法想象该怎么生活,4685734429330671,1
好离谱东北冬天得多冷,4685733825090843,1
东北黑天那么早，红绿灯都停了这得多危险啊，出点啥事谁来负责，我真的想不通,4685733380232008,1
在吉林市已经在堵车了,4685732662478127,1
没搞明白突然限电干嘛,4685732037525839,1
这还怎么生活啊。。,4685730112603087,1
四点半到8点半停电原来东北人民都不吃早饭都10点上班,4685730066733124,1
黑龙江部分地区早9点停电至晚8点,4685729647559213,1
妈呀这不我家么，前天还跟我妈视频，她就在百姓药店点着蜡烛跟我说话,4685729026807662,1
好离谱啊,4685728867683599,1
真的有病吧,4685728694403085,1
让本不富裕的东北，雪上加霜。,4685728255313107,1
这是哪个大聪明一拍脑门子想出来的政策啊,4685727852139074,1
四周一片寂静，黑暗笼罩着东北。一家人裹着被围坐在蜡烛前，祈祷冬天赶快过去。,4685727793152609,1
注意安全吧大家。。没等路灯没监控的,4685727512660111,2
为什么没有灯塔守候东北？,4685727251563832,2
人民共同富裕有生之年可能赶不上了，好歹把地区之间差距补补吧，西部都是山区困难也许大一些，东北是平原啊，混成今天这样我真的不李姐,4685726539320567,2
这是啥啊，连路灯和红绿灯都没了？！,4685726395929901,1
大家都是人，将心比心吧，一刀切的停电有没有想过后果？特别是如果家里有病人长期靠仪器维持生命的，这样停电和谋杀有区别吗？？？？,4685725968109645,3
是真的有毛病,4685724819919043,1
饭点怎么开啊正赶饭点儿停电,4685724332854559,1
想去问候这些领导的八辈祖宗喻文波的小老婆没有红绿灯也太离谱了，这是哪个大聪明领导想到的政策啊,4685723414038723,1
这是在做什么,4685722600605011,1
离大普,4685721720328537,1
停电是太离谱了，建议用电高峰时我们南方夜里城市的灯光秀给关了，我们小区墙上都有灯，晚上那几个小时我觉得不开也没什么嘛,4685720759042524,1
魔幻2021还是移民南方吧,4685720055448727,1
热搜第一了,4685720013505875,1
完全是不顧老百姓死活。,4685719378858438,1
离谱！,4685719357884498,1
犯罪率上来咋办,4685719035187665,1
红绿灯都没了，太可怕了，出事故怎么办？,4685718180595955,1
现在就该先把电脑挖矿的全封掉，再搞个节能减排的政治任务，至少居民用电不能停啊,4685717668105757,1
信号灯都停了？不知道还以为世界末日了。这街上就差丧尸了。,4685717538865302,5
电梯楼怎么办啊？住二十多层的难道真的要人用脚爬？,4685717052067458,1
高三生也很无语因为疫情上网课结果停电信号不好老师说话总有电流声滋啦滋啦的一节课基本听不到什么,4685716841826125,4
很难想象,4685716750341864,1
真牛皮，东北马上进入零下了，限制煤炭地热温度下降，现在又限电，空调用不了，咋滴零下30度靠自身发热？南方不夜城，然后给东北居民限电，真不错，脑袋里装的可真是东西,4685716640498848,4
在干什么,4685716476658526,2
好气呀,4685716112277789,1
这是哪个聪明的大脑袋长出来的妙计啊？还嫌东北不够冷，东北人不够惨吗？,4685716040977018,1
为了振兴东北，领导们真是费心了,4685715876872296,2
这政策真离谱,4685715814483268,1
啊哈？这领导决策的时候真的深思熟虑了吗这举措就仿佛故意激化社会矛盾似的,4685713776052064,2
医院都停电真的有点过了,4685713750623398,3
什么年代我们居然在点蜡烛,4685713394370025,1
延边州也是,4685712425223408,1
啥电都没有也太离谱了吧,4685712420769783,1
生死有命富贵在天吧,4685711955203017,1
好美的人间,4685711720842922,1
这个比喻绝了,4685696201656861,1
又心疼又好笑,4685652760726891,1
在小城市的时候老是停电,4685572780589787,2
这个是全面小康社会？,4686764217732154,0
可以想象没有电的日子将会是什么样,4686563105833881,0
真的很魔幻,4686474551493463,0
帆帆不加糖这就是我说的城市一片漆黑,4686157663436995,0
住高层咋办人家要住20来分给突发急症真就等死？,4686095714093910,0
啊这？怎么还倒退了,4686071697244588,0
不知道的还以为这是丧尸围城后仅存的人类点起的蜡烛呢,4686066335879738,0
昨天到底吃没吃饭图三乍一看好恐怖,4686041947309425,0
现实版生存家族,4685972212550304,0
是因为缺煤么，好像是因为我们国家以往会向澳购买煤还是啥的，然后这段时间关系紧张？我不知道我就是问问,4685869103448226,0
医院的电没停吧？,4685849863914714,0
荒谬的2021年,4685840623863721,0
我就好奇，这样搞，商场商铺不能好好开，公司也不能好好上班吧？经济不会直线下滑么,4685826287997177,0
！那是爷的家啊,4685821670067894,0
长春还没经历过,4685819191758542,0
没电真的太可怕，到底发生了什么，满脸问号,4685818842842621,0
现代社会停电的痛苦不用多想就知道有多令人窒息了。源头问题不去解决，只想维持表面而又短暂的平和，这样的做法是怎么被一层层通过开始实施的啊？没电的时刻灭的不只是红绿灯，更多的是老百姓心中的光吧。,4685808345023693,0
我想问大医院是不是会有备用电源和发电机,4685790829347331,0
太惨了,4685787852181141,0
本末日文学者清醒的意识到我的家乡在东北松花江上是多么充满悲剧主义色彩的存在,4685782260385666,0
这是今年才开始还是以前就这样,4685771209183199,0
为了减排达标，限制火力发电。造成用电紧张。,4685770185247094,0
没有红绿灯路灯也是太过分,4685768566244654,0
点着蜡烛的花店看起来有点吓人,4685755601912270,0
2021,4685749536949881,0
花点花圈那儿点蜡烛仿佛葬礼现场,4685747443208679,0
讲个笑话，全面小康,4685738325051099,0
这是一方面配合三胎政策了吗,4685737926067086,0
同城转一下希望有更好的解决办法吧,4685737344106649,0
那怎么吃饭啊,4685736810382370,0
前几天回磐石也是突然的停电还是大规模的停电我就想为啥这么大规模的停电不早通知呢而且还是停水停电,4685735482101914,0
这还是2021年吗,4685735012339434,0
天啊,4685733761385577,0
搞笑哦,4685732352624424,0
别说，这照片上的场景还真有十几年前的感觉了，家里偶尔停电，点上个被迫烛光晚餐，那时候还觉得挺美好，现在是真不方便,4685730523910566,0
咋上课啊,4685729478739676,0
来海南吧，海南不冷，冬天人都过来,4685728187157797,0
2348948897981794879459985306889997899990794523限居民用电，这应该是现在很多东北小城市的现状,4685727248680175,0
为什么啊？东北人民这几天咋过啊？,4685726816667669,0
大磐石，我的家乡,4685726724393130,0
我不理解,4685726241785580,0
昨天因为下雨，我们这里停电两小时，我都慌了，手机也立马歇业不敢玩了,4685725766783858,0
？？这怎么什么都停，乱七八糟的，也没计划,4685724857140383,0
我觉得我应该备点蜡烛。。。,4685722705200276,0
医院也这样吗,4685719229173336,0
起码还来了隔几个小时来一下在郑州经历过七天七夜无水无电无信号日子后告诉你这都是小场面,4685718104052672,1
是不是别人就说一个省点电，然后执行的人脑子一咔嚓给全断了,4685716808007711,3
免费领取百合一支,4685713679058415,0
这他吗还大力推广新能源汽车呢,4685712416573834,0
好美的人间。,4685711511389455,0
这敢信这是2021科罗廖夫这种停电就过分了。,4685711053950851,1
停民用电，棒,4685710937032687,1
磐石,4685709958448331,0
这鸡头还要吗？,4685709933807402,0
最近没怎么看新闻，单纯的不知道所以问一下，东北为啥突然限电了？,4685709418432190,0
离谱就,4685708835424904,0
没有红绿灯真的惊呆我了，离谱,4685707866541092,0
红绿灯也停真是太离谱了,4685707489316532,0
是磐石啊，，，我家,4685707396255110,0
我是没想到的，看新闻看到自己老家太难过了，磐石人民加油,4685706524361281,0
东北有老虎,4685705882896505,0
天啊，难以想象，虽然不是东北人，但是很同情各位乡亲们，希望国家合理考虑居民用电,4685705664794214,0
我姥爷得用呼吸机和制氧机，结果昨天停电了，真无语了,4685705387707513,4
为啥是东北这里限电啊？不太懂,4685704544653603,0
这是有病吧,4685704133871835,0
东北停电一条热搜都上不去，真无语,4685703893484841,1
2021年了，东北人要靠点蜡烛过日子，多讽刺,4685703054886777,4
为何限电,4685702904155173,0
就这当初还有脸嘲笑弯弯啊真是天道好轮回,4685702799295261,6
免费领取百合一枝,4685699821340455,4
太真实了，东北部分地区现状。不仅红绿灯没有，蜡烛更是稀缺资源了究竟是哪个傻领导决策不定时的停送电。,4685699599565161,1
限电是企业。居民用电搞毛，乱作为吧,4685696427885414,0
这种情况下，多准备一些蜡烛应急灯和充电宝食物，是不是很有必要？,4685686076607994,0
连红绿灯都停了,4685685887602823,0
顶一顶,4685684788692158,0
南方好,4685684210142606,0
我的心里只有感恩折霜,4685682667424087,1
即便是迫不得已，也要有所预案，基本民生要保，秩序维护要做到位，应急防范要开展起来。具体来说，通信医院金融机构必须安排好临时用电。红绿灯不能用，重点路口提前安排交警是能做到的吧？,4685679944270675,1
明戈你那有停电吗,4685669589059036,0
央视新闻人民日报四川观察国家电网麻烦看看民生是哪个领导的决定坑苦了我们这些平明百姓,4685661312911330,3
我就是那个筱慢呀看介个,4685653634450965,0
天呐这是在干什么没有红绿灯怎么想的。。。。。23489589799990794523,4685651607814896,0
没红绿灯没监控，想起之前贵州小偷来东北的新闻,4685648516612729,0
问了家住白城市的战友，他说他们那只是偶尔停电，看样子，有些地方是对政策不满啊！,4685633988333345,0
天哪,4685602563296133,0
我们这医院第一天就给停电了，十几个透析的透一半差点没死了，后来紧急拉到还没停电的另一个医院抢救。就是没出事，出事了看这帮人咋整。,4685730896679959,3
最后一张花店，打着蜡烛好吓人,4685724505346268,2
赶紧下载百部小说以防信号也没有，买个供电机器等到天气冷了还能供暖,4685723419019836,2
可是，马上天气就要转凉了啊，要停多久啊，没暖气真的还不如死了,4685718925874581,3
2348948897981794879459985306889997899990794523保障民生不是说说的，而是要做到，东北现在冷了，没有电让老人们怎么办，电梯停运，高层没水没电，孕妇爬24楼，回到家热水都没有一口，我们东北人不是要起义，至少要公平！吃大哥的粮用大哥的油还骂大哥。我们好冤,4685715055839481,2
想让我们死，不用这么拐弯抹角搞不懂，要是把电支援给别人用了，就告诉我们，什么时候停，家里好做好准备，电梯楼真的很怕好不好还看到有人说不是支援他们拿钱买的，卧槽？？？？民用电哎，我们没花钱？？？？,4685714749656427,4
东北就这么几口人，限电，用不起了？可不可笑。,4685710655229319,2
我來自台灣，看到內地停電訊息，剛好看到您文，看起來限電真的挺嚴重的，大家日常生活都會很不便，而且現在天氣變冷了沒有暖氣會很痛苦祝限電的日子早日結束。,4700001789280508,0
要警惕會有人趁機搶劫強姦殺人之類的,4686786544796100,0
看不懂的操作，怎么反而越来越倒退了,4686710913369196,0
万圣节,4686648980013250,0
红绿灯做为社会资源怎么能停能电，发生交通事故怎么处理，离谱了,4686558999348748,0
停电原因是煤炭供应不足。。。停水的原因是什么？？,4686422223620112,1
虽然我不是东北人，但是我知道没电视真的惨，电梯不能用还停水，很多家只有电器做饭，手机没电无法通，等等限电限民用？民用有多少？又想民不聊生吗？,4686419505187046,0
我觉得城市亮化还有牌匾灯减少点使用时间就挺好的比停居民甸应该省的更多,4686394078790299,0
这就是东北为留住人才防止人才流失做出的实践晚上熄灯免得晚上出走，真是爱了,4686264006345095,0
感恩就完事儿了为了自己的生命安全以及防范未来某天突然销声匿迹，我们一定要学会感恩,4686188004771569,1
我也是，没吃饭好说，没有电褥子开好冷,4685441561265793,73
真是看见深圳亮灯欢迎的心都凉了我这里连续停电两天今天就持续停了15个小时的电看着窗外乌漆麻黑一大片不知道为什么他们可以一直亮灯,4685442807764171,136
就是说，现在九月底，，真的会很冷吧。。。虽然四川还在开空调。。。但是东北限电也太不能理解。。。。。,4685476160341498,17
为啥停电能和欢迎孟晚舟联系在一起，欢不欢迎都会亮着灯啊。实在想不通，真就有收钱的吗？,4685752598007101,0
我不理解,4685472918407383,3
看看你们那边大工业或者企业停电没有沿海之前几个月一直都是限制工业用电开不了工一周不开一二天的。如果工业用电没影响那么就那什么。如果也停电那就哎,4685483919540331,1
我这也是早上九点停的都没通知手机还没信号晚上九点多来的服气了,4685451828926750,0
不是明天的事，是以后常态！关键停电原因是因为要给华北山东送电电路不稳停的我们居民电这就过分了,4685442421885634,2
在此再说明一下不要在这给我搞什么道德绑架要说爱国每一个东北人一丁点不比你们差别站在道德的制高点上批评这个批评那个鸟没把屎拉你头上你都不知道恶心,4685776740158809,0
后大下岗时代还能有粉红东北人就离谱,4685462784708835,35
没饭吃一片黑能活着回家都是万幸,4685509328634033,19
好惨现在竟然还有停电的,4685573169613078,1
感恩让我在2021年感受到了旧社会,4685508377313530,14
一边是举国欢庆霓虹灯闪烁欢迎公主回家，另一边是普通老百姓连个生活用电都没有了要不是昨天我没工作没车还要还房贷，我就骑车去接回家了也现场听一句她说感谢人民,4685597127737863,18
好像是17个省份都限电了，有的省市是因为有必须用电的工厂企业没法限电，然后就从居民区大面积限电了,4685603000549439,0
东北爱国家，国家爱东北吗？哈哈哈,4685714920309222,1
昨晚没回家住，住亲戚家，早上起来停电，一问，尊敬的用户您所在的区域处于电网故障停限电停电范围，停电原因电网故障停限电，停电开始时间20210926063216，预计来电时间20210926235959真想骂人,4685574965037759,1
只有东北人最理解东北人，一些地域蛙幸灾乐祸的，真恶心。,4685751768322113,0
这就是末梢，很容易就会被遗忘,4685730141701317,0
心疼，希望早点取消限电,4685676706529577,0
我们停水停电套餐,4685497957614122,0
东北冬天停电不是杀人吗当当得没有人性了,4685496560911273,0
可别提了，家里有孩子的才糟心，喝奶喝水都困难，从早上八点停到夜里十一点。,4685493955986332,0
东三省限电支援华北和山东,4685471215256292,0
宇宙大腿根就是，咋不让全国人民一起理解理解，试试随机断民用电，试试孕妇卡电梯里啥感觉，试试七八十岁老人爬二十多层楼梯，爬上去了还做不了饭，怕停电不敢坐电梯，高层的不敢随便出门，这种生活常态化，东北人民向谁求助，就靠看中国红？就这还有一帮说风凉话的，说人矫情，让人理解，让,4685467218088768,0
说句实话现在东三省都这样,4685609694136034,0
235956794579152698599594489589799990794523入冬前，限电会结束吗？国网吉林通化两地供电公司均在通知中称，由于近期电力紧张情况没有缓解趋势，限电工作可能会持续。东北某地电网工作人员表示，他们也要等通知，目前没法确定具体日期。但她个人推测，应该不会太久，毕竟东北冬天比较冷，还有地方是电采暖。,4685711317930273,217
拉闸限电背后，电力行业整体下跌383，八成个股下跌1632716635223微博正文,4686015626740323,1
啥缺口不能分区分批停电？不能提前通知停电？而要不定时的拉闸断电！啥缺口要停红绿灯路灯的电？啥缺口要给医院电信设备都停电！！！,4685710545650838,1984
我就想问问东北电网拉闸限电通知单上写着鲁固直流送山东千瓦，高岭直流送华北千瓦。这件事情是不是真的！既然我们东北用电有缺口，为啥还要往外送？,4685713938843315,1161
官方话术，没有实际作用，没解决问题,4685708956274538,997
为什么让东北首先停了居民用电，真是喝东北的吃东北拿东北然后还有一堆人骂东北的，寒心,4685719241492938,683
东北9月末，气温已经个位数了，供暖之前，全靠空调电褥子取暖，家里老人冻得哆嗦，不用燃气的热水热饭吃不上，高层的下楼回家都是问题。路灯信号灯都没有，医院加油站也停，商店卷帘门放不下来，监控开不了。请问东北的日子要怎么过？也不对标别的地区，东北人要求不高，正常生活而已,4685723090813012,436
真的是放屁！就是电厂赔钱你也得保证民用电啊，要不然全国纳税养国企干啥，你要按市场规律你就涨价，也不能停点啊,4685723657306727,454
问为什么东北限电上不了热搜答因为他们都上不了网好冷的笑话。,4685734181341363,325
平时欠一块钱电费都不给供电，现在还有电费单方面不通知就给停了。还是晚五点到十点。都不用吃饭看书的嘛,4685729269550807,279
这根本不是比较冷！东北过冬没有供暖的话是会出人命的！！,4685723837399399,197
东北人不是人吗？什么是民用电，民生电？,4685734114235375,101
小粉红就别来了，你忘了你爱的是国，不是国家人民百姓群众，你爱的就是那面旗子，你这么清高就别参与到百姓评论里,4685740594697349,132
东北三省全国电网用电量倒数，为啥最后就东北有缺口，我确实不懂啊！如果你说是供暖，那北方供暖的只有东北吗？更何况东北还没开始供暖呢！,4685736558990011,82
啥缺口能够让东北的夜晚无一盏亮灯，南方的黑夜犹如白昼灯火通明,4685735661404943,95
我都不晓得应该说些什么，只希望快点解决！！！！！,4685709905233126,60
国家电网客服工作人员深谙废话文学啊说了半天啥用没有,4685734311629089,80
受苦的还是百姓啊,4685733162649936,74
怎么着就东北煤贵是吧那个大聪明的领导自己贪了多钱没点数？电力系统的朋友家长们一顿饭几十万可不是白听说的,4685736915504077,59
人家灯火通明庆祝回归我们瑟瑟发抖期待来电？感情就我们停电才能救国呗？,4685741948405890,39
这不仅仅是限电一件事情，这是断水断电断通信断交通的五断工程！,4685734209914046,45
除了基本生活保障的工业电，其他就算都停了也不能停民用啊,4685713355837866,29
看不到深圳灯火通明欢迎长公主回归的直播好遗憾，可惜停电了,4685747590793705,26
意思是说就单是东北的煤贵是吗？还是说东北人家电灯瓦数大一个灯抵别的地方一个发动机的功率？怎么别的地方开空调都行，东北想做个饭都不行？现在东北晚上那么冷，你让老人晚上怎么过？,4685735757613749,18
限电我能理解，但是能不提前通知啊,4685735279463899,13
东北现在不仅仅是在面对能源问题，电力问题和经济问题。它面临的是切切实实的民生问题，它不能等着各位分析出原因之后慢慢缓解，需要的是立即马上的解决办法啊！,4685743127269187,15
限电也得提现通知，好有所准备，好多家里都是靠电做饭取暖，总不能吃生的挨冻吧,4685712068972373,27
比较冷？？比较冷？？？你冬天过来我们东北零下二三十度的冰天雪地，你过来住一个月，那风都刺骨，还比较冷？,4685716023412020,8
虽然都是中国人，但是作为被放弃的东北人突然感到好悲哀。,4685780210156375,11
东北人，在北京工作。这些年慢慢的也考虑过回东北发展，但是东北经济跟不上，国家不扶持，有啥事都拿东北开刀。我就是想回家条件也不允许。我在北京这些年，至少从未停过电。连民生都保障不了的地方，人才怎么能不流出？我一定努力把父母接到北京生活，作为一个普通人，只想尽我所能让我家人好好活着。,4685773233718274,12
懒政一时爽,4685734890440156,15
建议中央督导组和国务院大督查进驻国家电网，认真调查问题，给东北人民一个满意的答复！,4685770785295962,6
有意思我家坐标盘锦天天停电没有通知今天早上六点多就开始停电啥时候来电也不知道来电的时候要么是后半夜要么就晚上十一点多这样长期下去谁能受得了,4685744738665436,5
只是东北限电吗？为什么？,4685735229656980,8
9月末了气温现在晚上都个位数度数了，还有一些要考试的晚上刷网课呢，你一个拉闸爽了其他人了，本来晚上就冷还没电热水都没发烧,4685740364007335,4
这可真是，听君一席话，如听一席话，有用的啥都没说,4685736433944078,4
纯他娘的放屁,4685736320172203,3
让东北网红集资，个个都身价好几亿。那个辛巴更多，哈哈哈哈哈，,4685734746783876,7
非要赶收完地，回来做饭的时候停电，服不服吧，你就说,4685734185800098,7
企业停工，给我们放假，不给发工资，回家爬20层楼梯，家里冰箱东西都化了，老爸透析机停了，没电透析，身体不舒服一直喊。不给通燃气，不让用液化气，电磁炉这次也不能用了，我去哪捡柴火啊！,4685774191332948,5
可真官方啊因为什么缺电？是我们天天灯火通明了？还是随意挥霍了！自己过自己的小日子好好的别的地方有问题我们扛？理由呢，最起码别影响我们正常生活，至于某些问题不应该是我们普通人该关心的吧,4685737490388105,4
吸血鬼,4686713881889804,1
看看北京的吧天天没人整栋大楼都亮着,4685816657875989,3
哈尔滨可算是真人剧本杀了,4685784110859672,1
